Question ,Answer 
N?u tôi làm vi?c lâu n?m thì s? ngày ngh? phép hàng n?m có t?ng lên khong ?,Vui lòng liên h? Line Manager ?? có câu tr? l?i chính xác nh?t. 
Khi nào công ty có company trip?,"Company Trip không ph?i là 1 phúc l?i b?t bu?c, n?u có thì công ty s? thông báo và ?n ??nh ngày d?a vào b?u ch?n c?a toàn b? nhân viên công ty. Riêng n?m 2023, comany trip s? di?n ra vào kho?ng tháng 8 ho?c tháng 9. "
L??ng tháng 13 ch?c ch?n có không?,"Hi?n nay pháp lu?t lao ??ng Vi?t Nam không có quy ??nh và ghi nh?n khái ni?m “l??ng tháng 13”. L??ng tháng 13 ? ?ây ???c hi?u là m?t kho?n ti?n th??ng mà doanh nghi?p dành cho ng??i lao ??ng vào cu?i n?m khi doanh nghi?p làm ?n có lãi nh?m m?c ?ích h? tr?, khuy?n khích ng??i lao ??ng làm vi?c. Theo quy ??nh t?i B? lu?t Lao ??ng 2019, ti?n th??ng là kho?n ti?n mà ng??i s? d?ng lao ??ng th??ng cho ng??i lao ??ng c?n c? vào k?t qu? s?n xu?t kinh doanh h?ng n?m và không ph?i kho?n ti?n b?t bu?c. Do ?ó, công ty không b?t bu?c ph?i tr? l??ng tháng 13 cho ng??i lao ??ng.

Tr??ng h?p công ty tr? cho ng??i lao ??ng l??ng tháng 13, vì b?n ch?t ?ây là kho?n ti?n th??ng nên pháp lu?t không quy ??nh ph?i m?c l??ng c? th? s? tr? cho ng??i lao ??ng. L??ng tháng 13 ???c tính c?n c? trên k?t qu? s?n xu?t kinh doanh, doanh thu c?a công ty trong c? n?m và hi?u su?t lao ??ng c?a ng??i lao ??ng ?ã ??t ???c.

Tóm l?i, tùy vào ?i?u ki?n s?n xu?t  kinh doanh, công ty có th? xem xét th??ng l??ng tháng 13 ?? khuy?n khích ng??i lao ??ng tham gia làm vi?c t?i doanh nghi?p ?? t?ng, m?c l??ng tháng 13 do t?ng công ty quy?t ??nh và không b?t bu?c ph?i tr? n?u trong h?p ??ng lao ??ng gi?a công ty và ng??i lao ??ng ?ã giao k?t không th?a thu?n, trong n?i quy ho?c th?a ??c lao ??ng t?p th? c?a doanh nghi?p không quy ??nh v? kho?n ti?n này n?u doanh nghi?p thua l? ho?c ng??i lao ??ng không hoàn thành công vi?c c?a mình có th? s? không nh?n ???c ti?n l??ng tháng 13."
"Công ty có cung c?p nh?ng thi?t b? v?n phòng ph?m cho tôi khi làm vi?c không? Ví d?: gi?y ghi chú, pin máy tính, bút, ? c?m s?c pin ?i?n tho?i...",B?n hãy liên h? team support nhé
"Tôi có th? l?y các thi?t b? v?n phòng ph?m (nh? bút, pin máy tính, gi?y...) ? ch? nào? ",B?n hãy liên h? team support nhé
M?t ng??i có th? dùng bao nhiêu màn hình máy tính?,B?n hãy liên h? team support nhé
Tôi có th? h?i b?n cái gì?,"B?n có th? h?i tôi v? t?t c? nh?ng v?n ?? trong v?n phòng Mission Made Vi?t Nam. Trong tr??ng h?p tôi ch?a th? tr? l?i b?n ngay bây gi?, tôi s? l?u câu h?i l?i và liên h? b? ph?n liên quan tr? l?i b?n trong 3 - 5 ngày làm vi?c.  "
Công ty có t?ng l??ng m?i 6 tháng không?,"Công ty s? xét d?a theo n?ng su?t làm vi?c, bi?u hi?n c?a nhân viên ?? xét l??ng m?i chu k? 6 tháng. "
Khi nào công ty review l??ng?,"Công ty s? review l??ng vào kho?ng tháng 12 / tháng 1 và tháng 6 / tháng 7. ?? bi?t thêm chi ti?t chính xác, b?n có th? liên h? Line Manager c?a mình."
Làm sao ?? t?ng l??ng?,"M?i b? ph?n, m?i nhân viên s? có 1 KPI khác nhau. ?? bi?t chính xác tiêu chí t?ng l??ng, b?n có th? liên h? Line Manager c?a mình. "
