Ch? ?? th??ng dành cho qu?n lý d? án,Vui lòng liên h? Line Manager c?a b?n và Project Manager cho v?n ?? này.
Công ty có quà T?t không?,"Quà T?t cho ng??i lao ??ng không ph?i là m?t quy ??nh b?t bu?c ??i v?i doanh nghi?p. Mà c?n c? vào tình hình ho?t ??ng kinh doanh c?a công ty, các ch? s? m?c tiêu, n?ng su?t làm vi?c và m?c ?? hoàn thành công vi?c có th? xây d?ng quy ch? n?i b? c?a doanh nghi?p v? vi?c quà T?t cho ng??i lao ??ng."
Tôi ???c ngh? Giáng sinh không?,Giáng sinh không n?m trong danh sách ngày ngh? L? c?a nhà n??c.
"Tôi thi r?t, tôi có n? công ty ti?n không?","N?u b?n thi ch?ng ch? không thành công, công ty s? không yêu c?u b?t k? kho?n thanh toán nào. Tuy nhiên, b?n ph?i ch? sau l??t Review l??ng ti?p theo m?i ???c ??ng ký thi l?i."
"Tôi mu?n h?c thêm, công ty có tài tr? ti?n h?c?",B?n có th? liên h? Line Manager cho nh?ng v?n ?? liên quan ??n vi?c công ty tài tr? các khoá h?c.
Tôi ph?i n?p ??n xin ngh? vi?c bao nhiêu ngày?,"Thông th??ng, b?n ph?i apply tr??c 45 ngày. Tuy nhiên, ?? bi?t chính xác h?n, vui lòng ki?m tra l?i h?p ??ng b?n ?ã ký v?i công ty. "
Ngày tr? ti?n l??ng m?i tháng là bao nhiêu?,Ngày tr? ti?n l??ng m?i tháng là bao nhiêu?
Công ty có tr? ti?n OT không?,Công ty có tr? l??ng OT
"Tôi làm ngày ngh?, công ty có tr? ti?n OT nh? lu?t Nhà n??c?","L??ng OT s? thay ??i theo quy ??nh nhà n??c. ?? có th? n?m thông tin chính xác nh?t, vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk "
Công ty có ?n T?t niên không?,Công ty có ngân sách cho các kho?n Event và ngân sách này s? do ng??i lao ??ng quy?t ??nh.
