Question,Answer
Nếu tôi làm việc lâu năm thì số ngày nghỉ phép hàng năm có tăng lên khong ?,Vui lòng liên hệ Line Manager để có câu trả lời chính xác nhất.
Khi nào công ty có company trip?,"Company Trip không phải là 1 phúc lợi bắt buộc, nếu có thì công ty sẽ thông báo và ấn định ngày dựa vào bầu chọn của toàn bộ nhân viên công ty. Riêng năm 2023, comany trip sẽ diễn ra vào khoảng tháng 8 hoặc tháng 9."
Lương tháng 13 chắc chắn có không?,"Hiện nay pháp luật lao động Việt Nam không có quy định và ghi nhận khái niệm “lương tháng 13”. Lương tháng 13 ở đây được hiểu là một khoản tiền thưởng mà doanh nghiệp dành cho người lao động vào cuối năm khi doanh nghiệp làm ăn có lãi nhằm mục đích hỗ trợ, khuyến khích người lao động làm việc. Theo quy định tại Bộ luật Lao động 2019, tiền thưởng là khoản tiền mà người sử dụng lao động thưởng cho người lao động căn cứ vào kết quả sản xuất kinh doanh hằng năm và không phải khoản tiền bắt buộc. Do đó, công ty không bắt buộc phải trả lương tháng 13 cho người lao động.

Trường hợp công ty trả cho người lao động lương tháng 13, vì bản chất đây là khoản tiền thưởng nên pháp luật không quy định phải mức lương cụ thể sẽ trả cho người lao động. Lương tháng 13 được tính căn cứ trên kết quả sản xuất kinh doanh, doanh thu của công ty trong cả năm và hiệu suất lao động của người lao động đã đạt được.

Tóm lại, tùy vào điều kiện sản xuất kinh doanh, công ty có thể xem xét thưởng lương tháng 13 để khuyến khích người lao động tham gia làm việc tại doanh nghiệp để tăng, mức lương tháng 13 do từng công ty quyết định và không bắt buộc phải trả nếu trong hợp đồng lao động giữa công ty và người lao động đã giao kết không thỏa thuận, trong nội quy hoặc thỏa ước lao động tập thể của doanh nghiệp không quy định về khoản tiền này nếu doanh nghiệp thua lỗ hoặc người lao động không hoàn thành công việc của mình có thể sẽ không nhận được tiền lương tháng 13."
"Công ty có cung cấp những thiết bị văn phòng phẩm cho tôi khi làm việc không? Ví dụ: giấy ghi chú, pin máy tính, bút, ổ cắm sạc pin điện thoại...",Bạn hãy liên hệ team support nhé
"Tôi có thể lấy các thiết bị văn phòng phẩm (như bút, pin máy tính, giấy...) ở chỗ nào?",Bạn hãy liên hệ team support nhé
Một người có thể dùng bao nhiêu màn hình máy tính?,Bạn hãy liên hệ team support nhé
Tôi có thể hỏi bạn cái gì?,"Bạn có thể hỏi tôi về tất cả những vấn đề trong văn phòng Mission Made Việt Nam. Trong trường hợp tôi chưa thể trả lời bạn ngay bây giờ, tôi sẽ lưu câu hỏi lại và liên hệ bộ phận liên quan trả lời bạn trong 3 - 5 ngày làm việc."
Công ty có tăng lương mỗi 6 tháng không?,"Công ty sẽ xét dựa theo năng suất làm việc, biểu hiện của nhân viên để xét lương mỗi chu kỳ 6 tháng."
Khi nào công ty review lương?,"Công ty sẽ review lương vào khoảng tháng 12 / tháng 1 và tháng 6 / tháng 7. Để biết thêm chi tiết chính xác, bạn có thể liên hệ Line Manager của mình."
Làm sao để tăng lương?,"Mỗi bộ phận, mỗi nhân viên sẽ có 1 KPI khác nhau. Để biết chính xác tiêu chí tăng lương, bạn có thể liên hệ Line Manager của mình."
Tiêu chí nào để xét tăng lương?,Bạn có thể liên hệ Line Manager để biết thêm chi tiết KPI và tiêu chí để tăng lương.
Công ty có tổ chức tiệc sinh nhật cho nhân viên không?,Công ty có mua bánh kem mừng sinh nhật nhân viên tập thể mỗi tháng.
Công ty có thưởng sinh nhật cho nhân viên không?,"Để chúc mừng cho nhân viên, công ty có tặng cho mỗi nhân viên 1 ngày nghỉ phép Sinh nhật mỗi năm. Bạn có thể apply đơn nghỉ cho ngày sinh nhật hoặc trước / sau ngày sinh nhật khoảng 3 ngày."
Tôi có bao nhiêu ngày nghỉ phép mỗi năm?,"Hiện tại, theo chính sách công ty, mỗi năm mỗi nhân viên có:
- 12 ngày nghỉ phép có lương
- 1 ngày nghỉ phép cho dịp sinh nhật được hưởng lương
- 3 ngày nghỉ phép hưởng lương cho Compassionate 
- 3 ngày nghỉ phép hưởng lương cho Marriage
- 30 ngày nghỉ bệnh được hưởng % lương tuỳ theo chính sách bảo hiểm xã hội.
Để biết thêm chi tiết, vui lòng liên hệ:
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk"
Nếu tôi không dùng hết ngày nghỉ phép thì có được hoàn tiền hay để dành cho năm sau?,"Bạn sẽ không được hoàn tiền cho ngày phép nhưng số ngày phép còn lại (tối đa 5 ngày) sẽ được cộng vào năm làm việc tiếp theo. Để biết thêm chi tiết, vui lòng liên hệ People Service: peopleservices@themission.co.uk"
"Vấn đề lương bổng, tôi có thể hỏi ai?",Bạn có thể liên hệ Line Manager cho những vấn đề liên quan đến lương.
"Lương tôi ít hơn tháng trước, bạn biết tại sao không?","Xin lỗi nhưng tôi chưa thể trả lời câu hỏi này. Tuy nhiên, bạn có thể liên hệ Miss Trang: trang.cuvuthanh@tmf-group.com để nhận giải đáp cho câu hỏi này."
Công ty có chế độ tiền thưởng sau mỗi dự án không?,"Công ty chúng ta không có chế độ tiền thưởng sau mỗi dự án nhưng có chính sách tiền thưởng mỗi tháng cho những cá nhân có biểu hiện làm việc xuất sắc trong tháng. Để nắm thêm tiêu chí, vui lòng liên hệ Line Manager của bạn."
Công ty có thưởng hàng tháng?,"Công ty có chính sách tiền thưởng mỗi tháng cho những cá nhân có biểu hiện làm việc xuất sắc trong tháng. Để nắm thêm tiêu chí, vui lòng liên hệ Line Manager của bạn."
"Tôi không có bug, tại sao không được thưởng?",Vui lòng liên hệ Line Manager của bạn và Project Manager cho vấn đề này.
Chế độ thưởng dành cho lập trình viên,Vui lòng liên hệ Line Manager của bạn và Project Manager cho vấn đề này.
Chế độ thưởng dành cho kỹ sư hệ thống,Vui lòng liên hệ Line Manager của bạn và Project Manager cho vấn đề này.
Chế độ thưởng dành cho QA,Vui lòng liên hệ Line Manager của bạn và Project Manager cho vấn đề này.
Chế độ thưởng dành cho quản lý dự án,Vui lòng liên hệ Line Manager của bạn và Project Manager cho vấn đề này.
Công ty có quà Tết không?,"Quà Tết cho người lao động không phải là một quy định bắt buộc đối với doanh nghiệp. Mà căn cứ vào tình hình hoạt động kinh doanh của công ty, các chỉ số mục tiêu, năng suất làm việc và mức độ hoàn thành công việc có thể xây dựng quy chế nội bộ của doanh nghiệp về việc quà Tết cho người lao động."
Tôi được nghỉ Giáng sinh không?,Giáng sinh không nằm trong danh sách ngày nghỉ Lễ của nhà nước.
"Tôi thi rớt, tôi có nợ công ty tiền không?","Nếu bạn thi chứng chỉ không thành công, công ty sẽ không yêu cầu bất kỳ khoản thanh toán nào. Tuy nhiên, bạn phải chờ sau lượt Review lương tiếp theo mới được đăng ký thi lại."
"Tôi muốn học thêm, công ty có tài trợ tiền học?",Bạn có thể liên hệ Line Manager cho những vấn đề liên quan đến việc công ty tài trợ các khoá học.
Tôi phải nộp đơn xin nghỉ việc bao nhiêu ngày?,"Thông thường, bạn phải apply trước 45 ngày. Tuy nhiên, để biết chính xác hơn, vui lòng kiểm tra lại hợp đồng bạn đã ký với công ty."
Ngày trả tiền lương mỗi tháng là bao nhiêu?,Công ty thường trả lương từ ngày 27 đến ngày 30 mỗi tháng.
Công ty có trả tiền OT không?,Công ty có trả lương OT
"Tôi làm ngày nghỉ, công ty có trả tiền OT như luật Nhà nước?","Lương OT sẽ thay đổi theo quy định nhà nước. Để có thể nắm thông tin chính xác nhất, vui lòng liên hệ: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk"
Công ty có ăn Tất niên không?,Công ty có ngân sách cho các khoản Event và ngân sách này sẽ do người lao động quyết định.
Công ty có tặng quà sinh nhật cho nhân viên không?,"Hiện tại, công ty chưa có chế độ tặng quà sinh nhật cho nhân viên. Tuy nhiên, công ty có tổ chức sinh nhật tập thể cho nhân viên cũng như tặng 1 ngày phép hưởng lương cho nhân viên nhân ngày sinh nhật."
Công ty có tài trợ chi phí học tiếng Anh cho nhân viên không?,"Hiện tại, công ty chưa có chính sách này."
"Máy tính tôi bị hư, tôi có thể liên hệ ai?",Bạn có thể gửi Request lên Mission Advantage: https://missionmade.atlassian.net/servicedesk/customer/portals . Công ty sẽ cử người liên hệ và giải quyết vấn đề của bạn.
