Question (Vietnamese),Translation (English)
N?u tìi lÖm vi?c lÉu n?m thç s? ngÖy ngh? phÇp hÖng n?m c¢ t?ng làn khong ?,"If I work for a long time, will the number of annual leave days increase?"
Khi nÖo cìng ty c¢ company trip?,When does the company have a company Trip?
L??ng th†ng 13 ch?c ch?n c¢ khìng?,The 13th month salary is definitely available?
"Cìng ty c¢ cung c?p nh?ng thi?t b? v?n phïng ph?m cho tìi khi lÖm vi?c khìng? V° d?: gi?y ghi ch£, pin m†y t°nh, b£t, ? c?m s?c pin ?i?n tho?i...","Does the company provide me when I work at work? For example: note paper, computer battery, pen, phone battery charger ..."
"Tìi c¢ th? l?y c†c thi?t b? v?n phïng ph?m (nh? b£t, pin m†y t°nh, gi?y...) ? ch? nÖo?","Where can I get stationery equipment (such as pens, computer batteries, paper ...)?"
M?t ng??i c¢ th? dóng bao nhiàu mÖn hçnh m†y t°nh?,How many computer screens can a person use?
Tìi c¢ th? h?i b?n c†i gç?,What can I ask you?
Cìng ty c¢ t?ng l??ng m?i 6 th†ng khìng?,Does the company raise salary every 6 months?
Khi nÖo cìng ty review l??ng?,When does the company review salary?
LÖm sao ?? t?ng l??ng?,How to raise salary?
Tiàu ch° nÖo ?? xÇt t?ng l??ng?,What criteria to consider raising salary?
Cìng ty c¢ t? ch?c ti?c sinh nh?t cho nhÉn viàn khìng?,Does the company organize a birthday party for employees?
Cìng ty c¢ th??ng sinh nh?t cho nhÉn viàn khìng?,Does the company have birthday rewards for employees?
Tìi c¢ bao nhiàu ngÖy ngh? phÇp m?i n?m?,How many days do I have every year?
N?u tìi khìng dóng h?t ngÖy ngh? phÇp thç c¢ ???c hoÖn ti?n hay ?? dÖnh cho n?m sau?,"If I do not use all the holidays, will it be refunded or for next year?"
"V?n ?? l??ng b?ng, tìi c¢ th? h?i ai?","Salary problem, who can I ask?"
"L??ng tìi °t h?n th†ng tr??c, b?n bi?t t?i sao khìng?","My salary is less than last month, you know why?"
Cìng ty c¢ ch? ?? ti?n th??ng sau m?i d? †n khìng?,Does the company have bonuses after each project?
