Nếu tôi làm việc lâu năm thì số ngày nghỉ phép hàng năm có tăng lên khong ?,Vui lòng liên hệ Line Manager để có câu trả lời chính xác nhất. 
"Công ty có cung cấp những thiết bị văn phòng phẩm cho tôi khi làm việc không? Ví dụ: giấy ghi chú, pin máy tính, bút, ổ cắm sạc pin điện thoại...",Bạn hãy liên hệ team support nhé
"Tôi có thể lấy các thiết bị văn phòng phẩm (như bút, pin máy tính, giấy...) ở chỗ nào? ",Bạn hãy liên hệ team support nhé
Một người có thể dùng bao nhiêu màn hình máy tính?,Bạn hãy liên hệ team support nhé
Tôi có thể hỏi bạn cái gì?,"Bạn có thể hỏi tôi về tất cả những vấn đề trong văn phòng Mission Made Việt Nam. Trong trường hợp tôi chưa thể trả lời bạn ngay bây giờ, tôi sẽ lưu câu hỏi lại và liên hệ bộ phận liên quan trả lời bạn trong 3 - 5 ngày làm việc. "
Công ty có tăng lương mỗi 6 tháng không?,"Công ty sẽ xét dựa theo năng suất làm việc, biểu hiện của nhân viên để xét lương mỗi chu kỳ 6 tháng. "
Khi nào công ty review lương?,"Công ty sẽ review lương vào khoảng tháng 12 / tháng 1 và tháng 6 / tháng 7. Để biết thêm chi tiết chính xác, bạn có thể liên hệ Line Manager của mình."
Làm sao để tăng lương?,"Mỗi bộ phận, mỗi nhân viên sẽ có 1 KPI khác nhau. Để biết chính xác tiêu chí tăng lương, bạn có thể liên hệ Line Manager của mình. "
Tiêu chí nào để xét tăng lương?,Bạn có thể liên hệ Line Manager để biết thêm chi tiết KPI và tiêu chí để tăng lương. 
Công ty có tổ chức tiệc sinh nhật cho nhân viên không?,Công ty có mua bánh kem mừng sinh nhật nhân viên tập thể mỗi tháng. 
Công ty có thưởng sinh nhật cho nhân viên không?,"Để chúc mừng cho nhân viên, công ty có tặng cho mỗi nhân viên 1 ngày nghỉ phép Sinh nhật mỗi năm. Bạn có thể apply đơn nghỉ cho ngày sinh nhật hoặc trước / sau ngày sinh nhật khoảng 3 ngày."
"Lương tôi ít hơn tháng trước, bạn biết tại sao không?","Xin lỗi nhưng tôi chưa thể trả lời câu hỏi này. Tuy nhiên, bạn có thể liên hệ Miss Trang: trang.cuvuthanh@tmf-group.com để nhận giải đáp cho câu hỏi này. "
